date,stargazers,starsToday,description,owner,name,url
2021-12-19,99,38,"Web application version 2, update new UI design.",Loopring,loopring-web-v2,https://github.com/Loopring/loopring-web-v2
2021-12-19,3,80,Serverless Stack (SST) is a framework that makes it easy to build serverless apps. Set breakpoints and test your functions locally.,serverless-stack,serverless-stack,https://github.com/serverless-stack/serverless-stack
2021-12-19,53,116,Cybernetically enhanced web apps,sveltejs,svelte,https://github.com/sveltejs/svelte
2021-12-19,37,12,Delightful JavaScript Testing.,facebook,jest,https://github.com/facebook/jest
2021-12-19,42,16,Apache Superset is a Data Visualization and Data Exploration Platform,apache,superset,https://github.com/apache/superset
2021-12-19,67,70,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!",storybookjs,storybook,https://github.com/storybookjs/storybook
2021-12-19,15,14,"Babylon.js is a powerful, beautiful, simple, and open game and rendering engine packed into a friendly JavaScript framework.",BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js
2021-12-19,13,10,The headless editor framework for web artisans.,ueberdosis,tiptap,https://github.com/ueberdosis/tiptap
2021-12-19,8,18,A powerful obfuscator for JavaScript and Node.js,javascript-obfuscator,javascript-obfuscator,https://github.com/javascript-obfuscator/javascript-obfuscator
2021-12-19,4,23,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support",vuejs,pinia,https://github.com/vuejs/pinia
2021-12-19,217,12,基于React和JSONSchema的动态表单解决方案,JDFED,drip-form,https://github.com/JDFED/drip-form
2021-12-19,20,4,"NativeScript empowers you to access native platform APIs from JavaScript directly. Angular, Capacitor, Ionic, React, Svelte, Vue and you name it compatible.",NativeScript,NativeScript,https://github.com/NativeScript/NativeScript
2021-12-19,125,46,Visual Studio Code,microsoft,vscode,https://github.com/microsoft/vscode
2021-12-19,6,23,Alibaba Group Unified Form Solution -- Support React/ReactNative/Vue2/Vue3,alibaba,formily,https://github.com/alibaba/formily
2021-12-19,1,18,"A Native GUI Epic Games Launcher for Linux, Windows and Mac.",Heroic-Games-Launcher,HeroicGamesLauncher,https://github.com/Heroic-Games-Launcher/HeroicGamesLauncher
2021-12-19,8,0,A declarative JavaScript library for application development using cloud services.,aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js
2021-12-19,1,1,Use Ant Design like a Pro!,ant-design,pro-components,https://github.com/ant-design/pro-components
2021-12-19,1,5,Kubernetes and container management to the desktop,rancher-sandbox,rancher-desktop,https://github.com/rancher-sandbox/rancher-desktop
2021-12-19,33,10,Material Component Framework for Vue,vuetifyjs,vuetify,https://github.com/vuetifyjs/vuetify
2021-12-19,2,13,"Protocol and application framework for decentralized NFT minting, storefronts, and sales.",metaplex-foundation,metaplex,https://github.com/metaplex-foundation/metaplex
2021-12-19,26,14,"Joplin - an open source note taking and to-do application with synchronization capabilities for Windows, macOS, Linux, Android and iOS. Forum: https://discourse.joplinapp.org/",laurent22,joplin,https://github.com/laurent22/joplin
2021-12-19,5,5,React Native's Animated library reimplemented,software-mansion,react-native-reanimated,https://github.com/software-mansion/react-native-reanimated
2021-12-19,2,4,基于 TS + Canvas 开发的【大转盘 / 九宫格 / 老虎机】抽奖插件， 一套源码适配多端框架 JS / Vue / React / Taro / UniApp / 微信小程序等， 奖品 / 文字 / 图片 / 颜色 / 按钮均可配置，支持同步 / 异步抽奖， 概率前 / 后端可控， 自动根据 dpr 调整清晰度适配移动端,buuing,lucky-canvas,https://github.com/buuing/lucky-canvas
2021-12-19,3,6,Official Discord API Documentation,discord,discord-api-docs,https://github.com/discord/discord-api-docs
2021-12-19,13,10,Open-Source Data Platform  — Directus wraps any SQL database with a real-time GraphQL+REST API and an intuitive app for non-technical users.,directus,directus,https://github.com/directus/directus
