date,stargazers,starsToday,description,owner,name,url
2021-12-25,384,51,"A quick'n'dirty game sample using kajiya, physx-rs, and dolly",h3r2tic,cornell-mcray,https://github.com/h3r2tic/cornell-mcray
2021-12-25,1,82,Experimental real-time global illumination renderer,EmbarkStudios,kajiya,https://github.com/EmbarkStudios/kajiya
2021-12-25,1,20,"[Mirror] An open world, open source voxel RPG inspired by Dwarf Fortress and Cube World",veloren,veloren,https://github.com/veloren/veloren
2021-12-25,4,21,A terminal workspace with batteries included,zellij-org,zellij,https://github.com/zellij-org/zellij
2021-12-25,20,27,Small exercises to get you used to reading and writing Rust code!,rust-lang,rustlings,https://github.com/rust-lang/rustlings
2021-12-25,10,2,"Distributed transactional key-value database, originally created to complement TiDB",tikv,tikv,https://github.com/tikv/tikv
2021-12-25,5,10,A spotify daemon,Spotifyd,spotifyd,https://github.com/Spotifyd/spotifyd
2021-12-25,1,3,Reference client for NEAR Protocol,near,nearcore,https://github.com/near/nearcore
2021-12-25,7,3,"A safe, extensible ORM and Query Builder for Rust",diesel-rs,diesel,https://github.com/diesel-rs/diesel
2021-12-25,5,9,"The Rust SQL Toolkit. An async, pure Rust SQL crate featuring compile-time checked queries without a DSL. Supports PostgreSQL, MySQL, SQLite, and MSSQL.",launchbadge,sqlx,https://github.com/launchbadge/sqlx
2021-12-25,18,17,Rust / Wasm framework for building client web apps,yewstack,yew,https://github.com/yewstack/yew
2021-12-25,2,4,"An elastic and reliable Serverless Data Warehouse, offers Blazing Fast Query and combines Elasticity, Simplicity, Low cost of the Cloud, built to make the Data Cloud easy",datafuselabs,databend,https://github.com/datafuselabs/databend
2021-12-25,1,5,A collection of Solana-maintained on-chain programs,solana-labs,solana-program-library,https://github.com/solana-labs/solana-program-library
2021-12-25,4,7,Format Rust code,rust-lang,rustfmt,https://github.com/rust-lang/rustfmt
2021-12-25,61,26,Empowering everyone to build reliable and efficient software.,rust-lang,rust,https://github.com/rust-lang/rust
2021-12-25,5,10,Fast State-of-the-Art Tokenizers optimized for Research and Production,huggingface,tokenizers,https://github.com/huggingface/tokenizers
2021-12-25,16,13,Relay is a JavaScript framework for building data-driven React applications.,facebook,relay,https://github.com/facebook/relay
2021-12-25,1,10,阿里云盘 WebDAV 服务,messense,aliyundrive-webdav,https://github.com/messense/aliyundrive-webdav
2021-12-25,15,7,A web framework for Rust.,SergioBenitez,Rocket,https://github.com/SergioBenitez/Rocket
2021-12-25,4,8,GraphQL server library for Rust,graphql-rust,juniper,https://github.com/graphql-rust/juniper
2021-12-25,441,26,"Rust 培养提高计划, 感谢 Databend 社区 支持https://github.com/datafuselabs/databend",wubx,rust-in-databend,https://github.com/wubx/rust-in-databend
2021-12-25,12,67,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",dani-garcia,vaultwarden,https://github.com/dani-garcia/vaultwarden
2021-12-25,2,4,Window handling library in pure Rust,rust-windowing,winit,https://github.com/rust-windowing/winit
2021-12-25,1,14,"High-velocity, monorepo-scale workflow for Git",arxanas,git-branchless,https://github.com/arxanas/git-branchless
2021-12-25,8,5,Create book from markdown files. Like Gitbook but implemented in Rust,rust-lang,mdBook,https://github.com/rust-lang/mdBook
